                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6612,                 2.6025,                 1.4719,                 0.4888,                0.46727,                0.45882,                0.27296,                 1.2732,                 1.8435,                 1.2769,              0.0033136,              0.0033136,              0.0033136
                      2,                 1.4009,                  1.688,                 1.3094,                0.60711,                0.49472,                0.55058,                0.31064,                 1.3951,                 1.8904,                 1.3712,              0.0066206,              0.0066206,              0.0066206
                      3,                 1.4051,                 1.5374,                 1.2938,                0.73202,                0.63841,                0.69103,                0.40238,                 1.3295,                 1.4766,                 1.3196,              0.0099012,              0.0099012,              0.0099012
                      4,                 1.4123,                 1.4664,                 1.3048,                0.72699,                0.55717,                0.61811,                0.36342,                 1.4498,                 1.6745,                 1.4686,              0.0098812,              0.0098812,              0.0098812
                      5,                 1.3851,                 1.3625,                 1.2962,                0.75107,                0.56403,                0.65502,                0.38246,                 1.3635,                 1.5175,                  1.348,              0.0098416,              0.0098416,              0.0098416
                      6,                   1.35,                  1.269,                 1.2817,                0.83394,                  0.686,                0.76225,                0.47586,                 1.2155,                 1.2834,                 1.2567,               0.009802,               0.009802,               0.009802
                      7,                 1.3321,                 1.2031,                 1.2687,                0.81288,                0.65039,                0.72889,                0.46181,                 1.2811,                 1.1191,                 1.2816,              0.0097624,              0.0097624,              0.0097624
                      8,                 1.2969,                 1.1427,                 1.2478,                0.82829,                0.66509,                 0.7628,                 0.4957,                 1.2589,                 1.1769,                 1.2994,              0.0097228,              0.0097228,              0.0097228
                      9,                 1.2803,                 1.0852,                 1.2394,                0.82193,                0.71349,                0.78703,                0.50623,                 1.2462,                0.99024,                 1.2715,              0.0096832,              0.0096832,              0.0096832
                     10,                 1.2591,                 1.0544,                 1.2236,                0.84012,                0.73718,                0.81606,                0.52618,                 1.2164,                0.99249,                 1.2611,              0.0096436,              0.0096436,              0.0096436
                     11,                  1.231,                 1.0152,                 1.2151,                0.85578,                0.77239,                0.83254,                0.57327,                 1.1298,                0.90523,                 1.1918,               0.009604,               0.009604,               0.009604
                     12,                 1.2371,                 1.0167,                 1.2103,                0.85585,                0.76615,                0.83633,                0.55484,                 1.1283,                0.88296,                 1.1895,              0.0095644,              0.0095644,              0.0095644
                     13,                 1.2226,                0.97951,                 1.2054,                0.87476,                0.73048,                0.81736,                0.55515,                  1.155,                 1.0282,                 1.2224,              0.0095248,              0.0095248,              0.0095248
                     14,                 1.2018,                0.95771,                  1.194,                0.78529,                 0.7381,                0.79786,                0.52111,                 1.2234,                 1.0035,                 1.2416,              0.0094852,              0.0094852,              0.0094852
                     15,                 1.1983,                0.94337,                 1.1924,                0.84307,                0.77064,                0.83417,                0.56443,                 1.1208,                0.88925,                 1.1709,              0.0094456,              0.0094456,              0.0094456
                     16,                  1.174,                0.92528,                 1.1807,                0.86605,                0.76445,                0.83192,                0.55335,                  1.123,                0.92461,                 1.2035,               0.009406,               0.009406,               0.009406
                     17,                 1.1602,                0.89723,                  1.172,                0.86865,                0.77997,                0.84009,                 0.5624,                 1.1196,                0.81851,                 1.1788,              0.0093664,              0.0093664,              0.0093664
                     18,                 1.1583,                0.88834,                  1.169,                0.89165,                0.76822,                0.85307,                0.59115,                 1.0793,                0.85558,                 1.1542,              0.0093268,              0.0093268,              0.0093268
                     19,                 1.1603,                0.87672,                 1.1734,                0.88344,                0.79072,                0.86489,                0.60143,                 1.1053,                0.76163,                 1.1675,              0.0092872,              0.0092872,              0.0092872
                     20,                 1.1419,                0.85327,                 1.1602,                 0.8312,                 0.7816,                0.84455,                0.58718,                 1.0971,                0.84814,                 1.1534,              0.0092476,              0.0092476,              0.0092476
                     21,                 1.1308,                0.83675,                  1.153,                0.85976,                0.80226,                0.86657,                 0.5925,                 1.1319,                0.81108,                 1.1797,               0.009208,               0.009208,               0.009208
                     22,                 1.1197,                0.82896,                 1.1461,                0.87266,                0.79485,                0.86879,                0.59627,                 1.0993,                0.77719,                 1.1712,              0.0091684,              0.0091684,              0.0091684
                     23,                 1.1262,                0.83437,                 1.1471,                0.87974,                0.80447,                0.87413,                0.60125,                 1.0719,                0.76243,                 1.1654,              0.0091288,              0.0091288,              0.0091288
                     24,                 1.1071,                0.81796,                 1.1446,                0.89155,                0.81026,                0.88253,                0.61487,                 1.0592,                0.72373,                  1.142,              0.0090892,              0.0090892,              0.0090892
                     25,                 1.1033,                0.81273,                 1.1402,                0.88628,                0.79693,                0.86807,                0.61374,                  1.071,                0.77202,                 1.1541,              0.0090496,              0.0090496,              0.0090496
                     26,                 1.0974,                0.79323,                   1.13,                0.89985,                0.80992,                0.88149,                0.60599,                 1.0583,                0.73093,                 1.1315,                0.00901,                0.00901,                0.00901
                     27,                 1.0928,                0.79612,                 1.1345,                0.90495,                0.81442,                 0.8829,                 0.6249,                 1.0337,                0.74656,                 1.1507,              0.0089704,              0.0089704,              0.0089704
                     28,                 1.0822,                 0.7899,                  1.125,                0.90724,                0.81731,                0.88191,                0.62321,                 1.0392,                0.68707,                 1.1133,              0.0089308,              0.0089308,              0.0089308
                     29,                 1.0655,                 0.7675,                 1.1199,                0.89535,                 0.8262,                 0.8837,                0.62021,                 1.0215,                0.75445,                 1.1328,              0.0088912,              0.0088912,              0.0088912
                     30,                  1.075,                0.77985,                 1.1207,                0.86586,                0.82684,                0.88176,                 0.6247,                 1.0027,                0.69171,                 1.1184,              0.0088516,              0.0088516,              0.0088516
                     31,                 1.0676,                0.75223,                  1.115,                 0.8952,                0.83752,                0.89815,                0.64619,                 1.0124,                 0.6644,                 1.1158,               0.008812,               0.008812,               0.008812
                     32,                 1.0522,                 0.7512,                 1.1117,                0.90035,                0.81434,                   0.88,                0.62087,                 1.0676,                0.70069,                 1.1375,              0.0087724,              0.0087724,              0.0087724
